content,original_id,from,date_created,sentiment,original_sentiment,
- - ini kata Jokowi soal buruh Outsourcing,'461829291202707456','taufiqpriyo','2014-05-01 18:27:38','Other','Other',
- - Bertemu buruh perempuan Jokowi moga saya bisa juang hak mereka,'461717540490989568','Yoga_law','2014-05-01 11:03:34','Other','Possibly Positive',
- - buruh ksn Jokowi Ical dan Prabowo tak pro buruh,'461774353583984641','Yoga_law','2014-05-01 14:49:19','Other','Other',
- - hamzah haz ke Jokowi sda masih Ngotot ke Prabowo,'461628850418774016','Yoga_law','2014-05-01 05:11:09','Other','Other',
- - ini kata Jokowi soal baju Jokowi - Ahok jangan pisah,'461732595785412608','Yoga_law','2014-05-01 12:03:24','Other','Other',
- - Jokowi Effect anggap mampu tekan dana kampanye Caleg PDIP,'461910495348658177','Yoga_law','2014-05-01 23:50:18','Other','Possibly Positive',
- - Jokowi nak kemeja kotak - kotak baru untuk Pilpres,'461717521604046848','Yoga_law','2014-05-01 11:03:30','Question','Question',
- - Jokowi daripada demo lebih baik buruh patungan beli ambulans,'461797231314477056','Yoga_law','2014-05-01 16:20:14','Other','Possibly Positive',
- - pkb rapat ke Jokowi bagaimana nasib Pencapresan Prabowo,'461732234576560128','Yoga_law','2014-05-01 12:01:57','Question','Question',
- - pkb rapat ke Jokowi Gerindra yakin Pencapresan Prabowo tetap aman,'461847822094983168','Yoga_law','2014-05-01 19:41:16','Other','Other',
- - puluh buruh perempuan Geruduk rumah nas Jokowi,'461705019189108736','Yoga_law','2014-05-01 10:13:49','Other','Other',
- - soal kemeja putih Dahlan Iskan saya bangga tiru pak Jokowi,'461815674017710080','Yoga_law','2014-05-01 17:33:31','Other','Other',
- detikNews demo di istana guru honorer minta agar Jokowi atau Prabowo jadi PresidennewsdetikcomRibuan guru,'461817629100236800','guru_honorer','2014-05-01 17:41:17','Other','Other',
- _ - demo di istana guru honorer minta agar Jokowi atau Prabowo jadi presiden,'461742988201185281','Ficrey','2014-05-01 12:44:41','Other','Other',
- _ - ada baju galau Jokowi - Ahok jangan pisah,'461709557140828160','AnnisaDRahayu','2014-05-01 10:31:51','Other','Other',
- _ - demo di istana guru honorer minta agar Jokowi atau Prabowo jadi presiden,'461741291244507136','atikagrisna','2014-05-01 12:37:57','Other','Other',
- _ - Jokowi ada gamenya juga,'461885407408316417','mayymayang','2014-05-01 22:10:37','Other','Other',
- _ - salah satu alas either Jokowi dan Prabowo gasuka dua dengan bagai alas,'461832364021129216','dine_cahya','2014-05-01 18:39:50','Other','Other',
- _ - Jokowi daripada demo lebih baik buruh patungan beli ambulans,'461811211416256513','Nissalathifah','2014-05-01 17:15:47','Other','Possibly Positive',
- _ - kalau boleh pak Tirtho saja yang jadi pres p spekulasi datang untuk capres 2014 apakah jokowi atau prabow,'461826634593472512','tirthoadji','2014-05-01 18:17:04','Question','Question',
- andika arya - demo pakai topeng Jokowi buruh sindir Megawati jual Indosat MERDEKACO,'461730227987546112','gede_mahesa','2014-05-01 11:53:59','Other','Other',
- andika arya - GSPB tidak akan pilih Jokowi Jakarta antara - humas dpw Bekasi dari gabung so,'461884295594799104','gede_mahesa','2014-05-01 22:06:12','Other','Other',
- andika arya - jadi presiden Jokowi janji ke tani selamat lahan tani MERDEK,'461772627900514305','gede_mahesa','2014-05-01 14:42:28','Other','Possibly Positive',
- andika arya - Jokowi ada dalam bayang - bayang Megawati Jakarta antara - amat politik da,'461884296655929344','gede_mahesa','2014-05-01 22:06:12','Other','Other',
- andika arya - Jokowi tolak Ical tak jawab hanya Prabowo hadiri hari buruh MERDEKAC,'461791838492323840','gede_mahesa','2014-05-01 15:58:48','Other','Other',
- andika arya - Jokowi selamat hari buruh Jakarta antara - gubernur dki Jakarta Joko Widodo j,'461748925972484096','gede_mahesa','2014-05-01 13:08:17','Other','Possibly Positive',
- andika arya - NasDem Jokowi itu produk lokal TEMPOCO Jakarta wakil sekretaris jenderal par,'461666375711211520','gede_mahesa','2014-05-01 07:40:15','Other','Other',
- AutoUpdateTwitter - Bertemu buruh perempuan Jokowi moga saya bisa juang hak mereka da,'461722366674886656','twofacecyber48','2014-05-01 11:22:45','Other','Possibly Positive',
- AutoUpdateTwitter - demo di istana guru honorer minta agar Jokowi atau Prabowo jadi presiden r,'461740495102697472','twofacecyber48','2014-05-01 12:34:47','Other','Other',
- AutoUpdateTwitter - may day Jokowi Blusukan Kunjungi buruh sakit di Jakut calon presiden PDIP,'461770012902965248','roboteror','2014-05-01 14:32:05','Other','Other',
- AutoUpdateTwitter - puluh buruh perempuan Geruduk rumah nas Jokowi puluh buruh perempuan,'461700781465300993','twofacecyber48','2014-05-01 09:56:58','Other','Other',
- detik - Bertemu buruh perempuan Jokowi moga saya bisa juang hak mereka dalam ingat hari buruh,'461716223776935936','Yunus_DeLonge','2014-05-01 10:58:20','Other','Possibly Positive',
- detik - hamzah haz ke Jokowi sda masih Ngotot ke Prabowo ppp terus jalin komunikasi dengan semua tum pa,'461627433628606466','Yunus_DeLonge','2014-05-01 05:05:31','Other','Other',
- detik - ini kata Jokowi soal baju Jokowi - Ahok jangan pisah kaos galau yang minta Jokowi - Ahok tak d,'461730223344476160','Yunus_DeLonge','2014-05-01 11:53:58','Other','Other',
- detik - Jokowi Effect anggap mampu tekan dana kampanye Caleg PDIP Caleg asal PDIP a keluar di,'461909533950889985','Yunus_DeLonge','2014-05-01 23:46:29','Other','Possibly Positive',
- detik - Jokowi daripada demo lebih baik buruh patungan beli ambulans gubernur dki Jokowi blusukan tengok,'461795511465291776','Yunus_DeLonge','2014-05-01 16:13:24','Other','Possibly Positive',
- detik - PDIP pkb dan NasDem Deal ppp susul koalisi dukung Jokowi makin kuat Setelah partai nas,'461679212751908865','Yunus_DeLonge','2014-05-01 08:31:16','Other','Other',
- detik - pkb rapat ke Jokowi Gerindra yakin Pencapresan Prabowo tetap aman di saat PDIP sudah pasti du,'461846522930270209','Yunus_DeLonge','2014-05-01 19:36:06','Other','Other',
- detik - soal kemeja putih Dahlan Iskan saya bangga tiru pak Jokowi kemeja putih kian populer di pilu 20,'461813588521279489','Yunus_DeLonge','2014-05-01 17:25:14','Other','Other',
- tangga info ajak Rieke dukung Jokowi buruh se - Jatim rasa tipu itu dukung Jokowi rupa pen,'461842889891250176','milhamrk','2014-05-01 19:21:40','Other','Possibly Positive',
- tangga info hari buruh rumah dan kantor Jokowi jaga ketat sudah ada buruh yang datang ke rumah gubernu,'461827452394696706','milhamrk','2014-05-01 18:20:19','Other','Possibly Positive',
- NewsOnline - Bertemu buruh perempuan Jokowi moga saya bisa juang hak mereka,'461714532499333120','Djava_J','2014-05-01 10:51:37','Other','Possibly Positive',
demo di istana buruh tolak Jokowi jadi presiden,'461806392160944128','UntungTriana','2014-05-01 16:56:38','Other','Other',
antara penting jil Jokowi vs penting bangsa Prabowo by,'461778061885595649','SutanPalimoRajo','2014-05-01 15:04:04','Other','Other',
dah saat kita pimpin oleh yang erti derita rakyat kaya jokowi yang kecil korban gusur dan yang tegas untuk utuh NKRI,'461869664394428416','HogiLay','2014-05-01 21:08:03','Other','Other',
demo di istana guru honorer minta agar Jokowi atau Prabowo jadi presiden Jakarta - ribu guru honorer,'461812801120370688','Habib35Nisa','2014-05-01 17:22:06','Other','Other',
gera sadar Jokowi tipu makin bahana saja dimana kemana jokowi selalu di hujat,'461789696155078658','agus_instrum','2014-05-01 15:50:17','Other','Possibly Negative',
hmhm siapa tiru siapa soal kemeja putih Dahlan Iskan saya bangga tiru pak Jokowi,'461818388155621376','firda121198','2014-05-01 17:44:18','Other','Other',
hmm di istana buruh tolak Jokowi jadi presiden,'461806720163913728','fitrahram','2014-05-01 16:57:56','Other','Other',
kemarin prabowo hadir ke rakernas FSPMI demo di istana buruh tolak Jokowi jadi presiden,'461796555981201408','waraswasistoJab','2014-05-01 16:17:33','Other','Other',
relawan Jokowi balik arah dukung Prabowo,'461774573894000640','zhdubai','2014-05-01 14:50:12','Other','Possibly Negative',
gak ada yang bandingin bagaimana Prabowo dan Jokowi laku kerja,'461908030624239617','OfiePariza','2014-05-01 23:40:31','Question','Question',
ayo twitnya dukung Jokowi yang mhina pribumi Brani,'461828727140126720','roses_man','2014-05-01 18:25:23','Other','Other',
pilih Jokowi sama saja dengan pilih Megawati,'461864968149692417','Anyer_Fury','2014-05-01 20:49:24','Other','Other',
Nonton interupsi di Indosiar dengan bintang tamu Jokowi gak tegas tidak fokus tidak arah,'461903943216295936','_shitinoer','2014-05-01 23:24:16','Other','Other',
Jokowi daripada demo lebih baik buruh patungan beli ambulans,'461812973275578368','Apry_pamungkass','2014-05-01 17:22:47','Other','Possibly Positive',
Outsourcing jam mrk yang bikin sih Jokowi dan Megawati jadi bahan sindir buruh,'461898031122894848','MSyadid','2014-05-01 23:00:46','Other','Other',
may day Jokowi Blusukan Kunjungi buruh sakit di Jakut - calon presiden PDIP Joko Widodo manfaat momen hari,'461783590796558336','Onecer','2014-05-01 15:26:02','Other','Possibly Positive',
puluh buruh perempuan Geruduk rumah nas Jokowi - puluh buruh perempuan yang gabung dalam komite aksi pe,'461707665287413760','Onecer','2014-05-01 10:24:20','Other','Other',
1 jalan religius Jokowi ke tanah suci sama keluarga,'461838887594127361','SohibJokowi','2014-05-01 19:05:46','Other','Other',
2 jalan religius Jokowi ke tanah suci sama keluarga,'461839047787163648','SohibJokowi','2014-05-01 19:06:24','Other','Other',
3 jalan religius Jokowi ke tanah suci sama keluarga,'461839398099640320','SohibJokowi','2014-05-01 19:07:47','Other','Other',
4 jalan religius Jokowi ke tanah suci sama keluarga,'461839452256485377','SohibJokowi','2014-05-01 19:08:00','Other','Other',
5 jalan religius Jokowi ke tanah suci sama keluarga,'461839545948848128','SohibJokowi','2014-05-01 19:08:23','Other','Other',
6 jalan religius Jokowi ke tanah suci sama keluarga,'461839623690268672','SohibJokowi','2014-05-01 19:08:41','Other','Other',
69 kalau sapi kode apa kenapa yang tanda 99 dan BEJO itu milih jokowi - kode apaitu,'461886320936116224','ryan_nus','2014-05-01 22:14:15','Question','Question',
aa buruh tak yakin Jokowi hapus sistem Outsourcing,'461858755101986816','ArvandPutra','2014-05-01 20:24:42','Other','Other',
aa gubernur Jokowi nilai belum pihak ke buruh,'461819803121242112','ArvandPutra','2014-05-01 17:49:55','Other','Other',
aa hari buruh Prabowo empati dan Jokowi simpati,'461819806115586048','ArvandPutra','2014-05-01 17:49:56','Other','Other',
aa Jokowi dan Megawati jadi bahan sindir buruh,'461889966176346113','JerryFadlika','2014-05-01 22:28:44','Other','Other',
aa may day Jokowi besuk tiga orang buruh yang sakit,'461819763396988929','JerryFadlika','2014-05-01 17:49:46','Other','Possibly Negative',
aa Prabowo dukung Sejumlah relawan Jokowi,'461882147398111233','JerryFadlika','2014-05-01 21:57:39','Other','Other',
aa relawan Jokowi balik arah dukung Prabowo,'461772047052312576','ArvandPutra','2014-05-01 14:40:09','Other','Possibly Negative',
aa Ryamizard belum mau ganggu Jokowi,'461585448905998336','ArvandPutra','2014-05-01 02:18:41','Other','Other',
aburizalbakrie ada demo may day Jokowi Kunjungi buruh yang sakit,'461793624456695808','AkunGueLoh','2014-05-01 16:05:54','Other','Possibly Positive',
aburizalbakrie cak Imin saya bukan Cawapres Jokowi,'461570760885411840','AkunGueLoh','2014-05-01 01:20:19','Other','Other',
aburizalbakrie Dahlan sebut ide Jokowi hapus subsidi bbm rasional,'461799334380855296','AkunGueLoh','2014-05-01 16:28:35','Other','Possibly Positive',
aburizalbakrie janji Jokowi di hari buruh,'461748976661069824','AkunGueLoh','2014-05-01 13:08:29','Other','Other',
aburizalbakrie janji Jokowi wujud tiga layak bagi buruh,'461715759455293441','AkunGueLoh','2014-05-01 10:56:29','Other','Other',
aburizalbakrie Jokowi kembali nak kemeja kotak - kotak,'461765180192743425','AkunGueLoh','2014-05-01 14:12:52','Question','Question',
aburizalbakrie NasDem ungkap rahasia damping Jokowi,'461787772542783488','AkunGueLoh','2014-05-01 15:42:39','Other','Possibly Negative',
aburizalbakrie NasDem Jokowi itu produk lokal,'461670944562774016','AkunGueLoh','2014-05-01 07:58:25','Other','Other',
