content ,original_id,from,date_created,sentiment,original_sentiment
kata Jokowi soal buruh Outsourcing  ,'461829291202707456','taufiqpriyo','2014-05-01 18:27:38','Other','Other'
buruh perempuan Jokowi moga juang hak  ,'461717540490989568','Yoga_law','2014-05-01 11:03:34','Other','Possibly Positive'
buruh ksn Jokowi Ical Prabowo pro buruh  ,'461774353583984641','Yoga_law','2014-05-01 14:49:19','Other','Other'
hamzah haz Jokowi sda Ngotot Prabowo  ,'461628850418774016','Yoga_law','2014-05-01 05:11:09','Other','Other'
kata Jokowi soal baju Jokowi Ahok pisah   ,'461732595785412608','Yoga_law','2014-05-01 12:03:24','Other','Other'
Jokowi Effect anggap tekan dana kampanye Caleg PDIP  ,'461910495348658177','Yoga_law','2014-05-01 23:50:18','Other','Possibly Positive'
Jokowi nak kemeja kotak kotak baru untuk Pilpres   ,'461717521604046848','Yoga_law','2014-05-01 11:03:30','Question','Question'
Jokowi demo baik buruh patungan beli ambulans  ,'461797231314477056','Yoga_law','2014-05-01 16:20:14','Other','Possibly Positive'
pkb rapat Jokowi nasib Pencapresan Prabowo  ,'461732234576560128','Yoga_law','2014-05-01 12:01:57','Question','Question'
pkb rapat Jokowi Gerindra yakin Pencapresan Prabowo tetap aman  ,'461847822094983168','Yoga_law','2014-05-01 19:41:16','Other','Other'
puluh buruh perempuan Geruduk rumah nas Jokowi  ,'461705019189108736','Yoga_law','2014-05-01 10:13:49','Other','Other'
soal kemeja putih Dahlan Iskan bangga tiru pak Jokowi  ,'461815674017710080','Yoga_law','2014-05-01 17:33:31','Other','Other'
detikNews demo istana guru honorer minta Jokowi Prabowo jadi PresidennewsdetikcomRibuan guru  ,'461817629100236800','guru_honorer','2014-05-01 17:41:17','Other','Other'
_ demo istana guru honorer minta Jokowi Prabowo jadi presiden   ,'461742988201185281','Ficrey','2014-05-01 12:44:41','Other','Other'
_ baju galau Jokowi Ahok pisah    ,'461709557140828160','AnnisaDRahayu','2014-05-01 10:31:51','Other','Other'
_ demo istana guru honorer minta Jokowi Prabowo jadi presiden   ,'461741291244507136','atikagrisna','2014-05-01 12:37:57','Other','Other'
_ Jokowi gamenya   ,'461885407408316417','mayymayang','2014-05-01 22:10:37','Other','Other'
_ salah satu alas either Jokowi Prabowo gasuka dua alas   ,'461832364021129216','dine_cahya','2014-05-01 18:39:50','Other','Other'
_ Jokowi demo baik buruh patungan beli ambulans   ,'461811211416256513','Nissalathifah','2014-05-01 17:15:47','Other','Possibly Positive'
_ pak jadi pres p spekulasi datang untuk capres 2014 jokowi prabow   ,'461826634593472512','tirthoadji','2014-05-01 18:17:04','Question','Question'
andika arya demo pakai topeng Jokowi buruh sindir Megawati jual Indosat MERDEKACO   ,'461730227987546112','gede_mahesa','2014-05-01 11:53:59','Other','Other'
andika arya GSPB tidak pilih Jokowi humas dpw Bekasi gabung so    ,'461884295594799104','gede_mahesa','2014-05-01 22:06:12','Other','Other'
andika arya jadi presiden Jokowi janji tani selamat lahan tani MERDEK   ,'461772627900514305','gede_mahesa','2014-05-01 14:42:28','Other','Possibly Positive'
andika arya Jokowi bayang bayang Megawati politik da     ,'461884296655929344','gede_mahesa','2014-05-01 22:06:12','Other','Other'
andika arya Jokowi tolak Ical jawab Prabowo hadiri hari buruh MERDEKAC   ,'461791838492323840','gede_mahesa','2014-05-01 15:58:48','Other','Other'
andika arya Jokowi selamat hari buruh gubernur dki Joko Widodo j    ,'461748925972484096','gede_mahesa','2014-05-01 13:08:17','Other','Possibly Positive'
andika arya NasDem Jokowi produk lokal TEMPOCO wakil sekretaris jenderal par   ,'461666375711211520','gede_mahesa','2014-05-01 07:40:15','Other','Other'
AutoUpdateTwitter buruh perempuan Jokowi moga juang hak da   ,'461722366674886656','twofacecyber48','2014-05-01 11:22:45','Other','Possibly Positive'
AutoUpdateTwitter demo istana guru honorer minta Jokowi Prabowo jadi presiden r   ,'461740495102697472','twofacecyber48','2014-05-01 12:34:47','Other','Other'
AutoUpdateTwitter may day Jokowi Blusukan Kunjungi buruh sakit Jakut calon presiden PDIP   ,'461770012902965248','roboteror','2014-05-01 14:32:05','Other','Other'
AutoUpdateTwitter puluh buruh perempuan Geruduk rumah nas Jokowi puluh buruh perempuan   ,'461700781465300993','twofacecyber48','2014-05-01 09:56:58','Other','Other'
detik buruh perempuan Jokowi moga juang hak ingat hari buruh   ,'461716223776935936','Yunus_DeLonge','2014-05-01 10:58:20','Other','Possibly Positive'
detik hamzah haz Jokowi sda Ngotot Prabowo ppp terus jalin komunikasi tum pa   ,'461627433628606466','Yunus_DeLonge','2014-05-01 05:05:31','Other','Other'
detik kata Jokowi soal baju Jokowi Ahok pisah kaos galau minta Jokowi Ahok d     ,'461730223344476160','Yunus_DeLonge','2014-05-01 11:53:58','Other','Other'
detik Jokowi Effect anggap tekan dana kampanye Caleg PDIP Caleg asal PDIP a keluar   ,'461909533950889985','Yunus_DeLonge','2014-05-01 23:46:29','Other','Possibly Positive'
detik Jokowi demo baik buruh patungan beli ambulans gubernur dki Jokowi blusukan tengok   ,'461795511465291776','Yunus_DeLonge','2014-05-01 16:13:24','Other','Possibly Positive'
detik PDIP pkb NasDem Deal ppp susul koalisi dukung Jokowi kuat nas   ,'461679212751908865','Yunus_DeLonge','2014-05-01 08:31:16','Other','Other'
detik pkb rapat Jokowi Gerindra yakin Pencapresan Prabowo tetap aman PDIP du   ,'461846522930270209','Yunus_DeLonge','2014-05-01 19:36:06','Other','Other'
detik soal kemeja putih Dahlan Iskan bangga tiru pak Jokowi kemeja putih kian populer pilu 20   ,'461813588521279489','Yunus_DeLonge','2014-05-01 17:25:14','Other','Other'
tangga info ajak Rieke dukung Jokowi buruh Jatim rasa tipu dukung Jokowi rupa pen   ,'461842889891250176','milhamrk','2014-05-01 19:21:40','Other','Possibly Positive'
tangga info hari buruh rumah kantor Jokowi jaga ketat buruh datang rumah gubernu  ,'461827452394696706','milhamrk','2014-05-01 18:20:19','Other','Possibly Positive'
NewsOnline buruh perempuan Jokowi moga juang hak   ,'461714532499333120','Djava_J','2014-05-01 10:51:37','Other','Possibly Positive'
demo istana buruh tolak Jokowi jadi presiden ,'461806392160944128','UntungTriana','2014-05-01 16:56:38','Other','Other'
penting jil Jokowi vs penting bangsa Prabowo by ,'461778061885595649','SutanPalimoRajo','2014-05-01 15:04:04','Other','Other'
dah pimpin derita rakyat kaya jokowi korban gusur tegas untuk utuh NKRI ,'461869664394428416','HogiLay','2014-05-01 21:08:03','Other','Other'
demo istana guru honorer minta Jokowi Prabowo jadi presiden ribu guru honorer  ,'461812801120370688','Habib35Nisa','2014-05-01 17:22:06','Other','Other'
gera sadar Jokowi tipu bahana dimana kemana jokowi hujat ,'461789696155078658','agus_instrum','2014-05-01 15:50:17','Other','Possibly Negative'
hmhm tiru soal kemeja putih Dahlan Iskan bangga tiru pak Jokowi ,'461818388155621376','firda121198','2014-05-01 17:44:18','Other','Other'
hmm istana buruh tolak Jokowi jadi presiden ,'461806720163913728','fitrahram','2014-05-01 16:57:56','Other','Other'
kemarin prabowo hadir rakernas FSPMI demo istana buruh tolak Jokowi jadi presiden ,'461796555981201408','waraswasistoJab','2014-05-01 16:17:33','Other','Other'
relawan Jokowi balik arah dukung Prabowo ,'461774573894000640','zhdubai','2014-05-01 14:50:12','Other','Possibly Negative'
gak bandingin Prabowo Jokowi laku kerja ,'461908030624239617','OfiePariza','2014-05-01 23:40:31','Question','Question'
ayo twitnya dukung Jokowi mhina pribumi Brani ,'461828727140126720','roses_man','2014-05-01 18:25:23','Other','Other'
pilih Jokowi pilih Megawati ,'461864968149692417','Anyer_Fury','2014-05-01 20:49:24','Other','Other'
Nonton interupsi Indosiar bintang tamu Jokowi gak tegas tidak fokus tidak arah ,'461903943216295936','_shitinoer','2014-05-01 23:24:16','Other','Other'
Jokowi demo baik buruh patungan beli ambulans ,'461812973275578368','Apry_pamungkass','2014-05-01 17:22:47','Other','Possibly Positive'
Outsourcing jam mrk bikin sih Jokowi Megawati jadi bahan sindir buruh ,'461898031122894848','MSyadid','2014-05-01 23:00:46','Other','Other'
may day Jokowi Blusukan Kunjungi buruh sakit Jakut calon presiden PDIP Joko Widodo manfaat momen hari  ,'461783590796558336','Onecer','2014-05-01 15:26:02','Other','Possibly Positive'
puluh buruh perempuan Geruduk rumah nas Jokowi puluh buruh perempuan gabung komite aksi pe  ,'461707665287413760','Onecer','2014-05-01 10:24:20','Other','Other'
1 jalan religius Jokowi tanah suci keluarga ,'461838887594127361','SohibJokowi','2014-05-01 19:05:46','Other','Other'
2 jalan religius Jokowi tanah suci keluarga ,'461839047787163648','SohibJokowi','2014-05-01 19:06:24','Other','Other'
3 jalan religius Jokowi tanah suci keluarga ,'461839398099640320','SohibJokowi','2014-05-01 19:07:47','Other','Other'
4 jalan religius Jokowi tanah suci keluarga ,'461839452256485377','SohibJokowi','2014-05-01 19:08:00','Other','Other'
5 jalan religius Jokowi tanah suci keluarga ,'461839545948848128','SohibJokowi','2014-05-01 19:08:23','Other','Other'
6 jalan religius Jokowi tanah suci keluarga ,'461839623690268672','SohibJokowi','2014-05-01 19:08:41','Other','Other'
69 sapi kode tanda 99 BEJO milih jokowi kode apaitu  ,'461886320936116224','ryan_nus','2014-05-01 22:14:15','Question','Question'
aa buruh yakin Jokowi hapus sistem Outsourcing ,'461858755101986816','ArvandPutra','2014-05-01 20:24:42','Other','Other'
aa gubernur Jokowi nilai pihak buruh ,'461819803121242112','ArvandPutra','2014-05-01 17:49:55','Other','Other'
aa hari buruh Prabowo empati Jokowi simpati ,'461819806115586048','ArvandPutra','2014-05-01 17:49:56','Other','Other'
aa Jokowi Megawati jadi bahan sindir buruh ,'461889966176346113','JerryFadlika','2014-05-01 22:28:44','Other','Other'
aa may day Jokowi besuk tiga orang buruh sakit ,'461819763396988929','JerryFadlika','2014-05-01 17:49:46','Other','Possibly Negative'
aa Prabowo dukung Sejumlah relawan Jokowi ,'461882147398111233','JerryFadlika','2014-05-01 21:57:39','Other','Other'
aa relawan Jokowi balik arah dukung Prabowo ,'461772047052312576','ArvandPutra','2014-05-01 14:40:09','Other','Possibly Negative'
aa Ryamizard ganggu Jokowi ,'461585448905998336','ArvandPutra','2014-05-01 02:18:41','Other','Other'
aburizalbakrie demo may day Jokowi Kunjungi buruh sakit ,'461793624456695808','AkunGueLoh','2014-05-01 16:05:54','Other','Possibly Positive'
aburizalbakrie cak Imin Cawapres Jokowi ,'461570760885411840','AkunGueLoh','2014-05-01 01:20:19','Other','Other'
aburizalbakrie Dahlan sebut ide Jokowi hapus subsidi bbm rasional ,'461799334380855296','AkunGueLoh','2014-05-01 16:28:35','Other','Possibly Positive'
aburizalbakrie janji Jokowi hari buruh ,'461748976661069824','AkunGueLoh','2014-05-01 13:08:29','Other','Other'
aburizalbakrie janji Jokowi wujud tiga layak buruh ,'461715759455293441','AkunGueLoh','2014-05-01 10:56:29','Other','Other'
aburizalbakrie Jokowi kembali nak kemeja kotak kotak  ,'461765180192743425','AkunGueLoh','2014-05-01 14:12:52','Question','Question'
aburizalbakrie NasDem ungkap rahasia damping Jokowi ,'461787772542783488','AkunGueLoh','2014-05-01 15:42:39','Other','Possibly Negative'
aburizalbakrie NasDem Jokowi produk lokal ,'461670944562774016','AkunGueLoh','2014-05-01 07:58:25','Other','Other'
aburizalbakrie PDIP koalisi ramping Jokowi kontra koalisi gemuk ,'461806606494482432','AkunGueLoh','2014-05-01 16:57:29','Other','Other'
aburizalbakrie tuju Jokowi ketua mpr sebut ri perlu revolusi mental ,'461570757089583104','AkunGueLoh','2014-05-01 01:20:18','Other','Other'
aburizalbakrie tengok buruh sakit Jokowi sindir demo hura hura  ,'461795325792243712','AkunGueLoh','2014-05-01 16:12:40','Other','Other'
AchR1zkyF_News Jokowi pasang telinga Musrenbangnas acara awal pid ,'461650975330033664','Officiall_R1zky','2014-05-01 06:39:04','Other','Other'
AchR1zkyF_News Jokowi betul ganjar marah masa beri hadiah gubernur Jawa tengah ganjar ,'461718394824183808','Officiall_R1zky','2014-05-01 11:06:58','Other','Possibly Negative'
AchR1zkyF_News kondisi bikin Jokowi jantung Gerindra belakang kerap m ,'461829030170226688','Officiall_R1zky','2014-05-01 18:26:35','Positive','Positive'
AchR1zkyF_News KSPI Jokowi sua malaikat Izrail buruh konfederasi ser ,'461856526236282881','Officiall_R1zky','2014-05-01 20:15:51','Positive','Positive'
