content,original_id,from,date_created,sentiment,original_sentiment,
- - di kompascom ini kata Jokowi soal buruh Outsourcing httptcotcjelNA8ua,'461829291202707456','taufiqpriyo','2014-05-01 18:27:38','Other','Other',
- - di detikcom Bertemu buruh perempuan Jokowi moga saya bisa juang hak mereka httptcoiG2HO4oJuM,'461717540490989568','Yoga_law','2014-05-01 11:03:34','Other','Possibly Positive',
- - di detikcom buruh ksn Jokowi Ical dan Prabowo tak pro buruh httptcopFKNPG9FhI,'461774353583984641','Yoga_law','2014-05-01 14:49:19','Other','Other',
- - di detikcom hamzah haz ke Jokowi sda masih Ngotot ke Prabowo httptcoGl6iEUYfxg,'461628850418774016','Yoga_law','2014-05-01 05:11:09','Other','Other',
- - di detikcom ini kata Jokowi soal baju Jokowi - Ahok jangan pisah httptco20yjpNyf6q,'461732595785412608','Yoga_law','2014-05-01 12:03:24','Other','Other',
- - di detikcom Jokowi Effect anggap mampu tekan dana kampanye Caleg PDIP httptconnJeeXjFUF,'461910495348658177','Yoga_law','2014-05-01 23:50:18','Other','Possibly Positive',
- - di detikcom Jokowi nak kemeja kotak - kotak baru untuk Pilpres httptcofyBmScTHJ8,'461717521604046848','Yoga_law','2014-05-01 11:03:30','Question','Question',
- - di detikcom Jokowi daripada demo lebih baik buruh patungan beli ambulans httptcoGN4ERHm41V,'461797231314477056','Yoga_law','2014-05-01 16:20:14','Other','Possibly Positive',
- - di detikcom pkb rapat ke Jokowi bagaimana nasib Pencapresan Prabowo httptcoan2gxlVqZN,'461732234576560128','Yoga_law','2014-05-01 12:01:57','Question','Question',
- - di detikcom pkb rapat ke Jokowi Gerindra yakin Pencapresan Prabowo tetap aman httptcoaTdWMT0Ty5,'461847822094983168','Yoga_law','2014-05-01 19:41:16','Other','Other',
- - di detikcom puluh buruh perempuan Geruduk rumah nas Jokowi httptcoEiHZurUGsa,'461705019189108736','Yoga_law','2014-05-01 10:13:49','Other','Other',
- - di detikcom soal kemeja putih Dahlan Iskan saya bangga tiru pak Jokowi httptcoknRUClKEOE,'461815674017710080','Yoga_law','2014-05-01 17:33:31','Other','Other',
